Year,GrandPrix,Driver,Team,LapNumber,Stint,Compound,TyreLife,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackStatus,IsPersonalBest,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,Position
2025,Australian Grand Prix,ANT,Mercedes,5.0,4.0,INTERMEDIATE,5.0,139.163,49.979,30.052,59.132,125.0,274.0,193.0,187.0,4,False,15.8,19.0,75.0,False,3.9,13.0
2025,Australian Grand Prix,BOR,Kick Sauber,5.0,4.0,INTERMEDIATE,5.0,138.316,49.203,29.928,59.185,133.0,257.0,157.0,158.0,4,False,15.8,19.0,75.0,False,3.9,14.0
2025,Australian Grand Prix,OCO,Haas F1 Team,5.0,4.0,INTERMEDIATE,1.0,130.528,48.221,25.144,57.163,93.0,250.0,133.0,184.0,4,False,15.8,19.0,75.0,False,3.9,15.0
2025,Australian Grand Prix,LAW,Red Bull Racing,5.0,4.0,INTERMEDIATE,4.0,131.293,49.874,23.666,57.753,102.0,272.0,143.0,148.0,4,False,15.8,19.0,75.0,False,3.9,16.0
2025,Australian Grand Prix,BEA,Haas F1 Team,5.0,4.0,INTERMEDIATE,1.0,125.412,45.526,23.469,56.417,150.0,261.0,137.0,179.0,4,False,15.8,19.0,75.0,False,3.9,17.0
2025,Australian Grand Prix,NOR,McLaren,6.0,4.0,INTERMEDIATE,6.0,140.423,48.236,33.814,58.373,154.0,186.0,247.0,180.0,4,True,15.9,19.0,76.0,False,3.3,1.0
2025,Australian Grand Prix,VER,Red Bull Racing,6.0,4.0,INTERMEDIATE,6.0,139.654,47.887,33.228,58.539,158.0,183.0,208.0,127.0,4,True,15.9,19.0,76.0,False,3.3,2.0
2025,Australian Grand Prix,PIA,McLaren,6.0,4.0,INTERMEDIATE,6.0,139.873,48.116,33.226,58.531,122.0,178.0,191.0,132.0,4,True,15.9,19.0,76.0,False,3.3,3.0
2025,Australian Grand Prix,RUS,Mercedes,6.0,4.0,INTERMEDIATE,6.0,139.485,47.746,33.735,58.004,124.0,180.0,157.0,114.0,4,True,15.9,19.0,76.0,False,3.3,4.0
2025,Australian Grand Prix,LEC,Ferrari,6.0,4.0,INTERMEDIATE,6.0,138.85,45.966,33.553,59.331,120.0,153.0,230.0,159.0,4,True,15.9,19.0,76.0,False,3.3,5.0
