Year,Round,EventName,Driver,Team,GridPosition,QualiPosition,RacePosition,Points,Status
2025,1,Australian Grand Prix,ALB,Williams,6.0,6.0,5.0,10.0,Finished
2025,1,Australian Grand Prix,ALO,Aston Martin,12.0,12.0,17.0,0.0,Retired
2025,1,Australian Grand Prix,ANT,Mercedes,16.0,16.0,4.0,12.0,Finished
2025,1,Australian Grand Prix,BEA,Haas F1 Team,20.0,20.0,14.0,0.0,Finished
2025,1,Australian Grand Prix,BOR,Kick Sauber,15.0,15.0,16.0,0.0,Retired
2025,1,Australian Grand Prix,DOO,Alpine,14.0,14.0,19.0,0.0,Retired
2025,1,Australian Grand Prix,GAS,Alpine,9.0,9.0,11.0,0.0,Finished
2025,1,Australian Grand Prix,HAD,Racing Bulls,11.0,11.0,20.0,0.0,Retired
2025,1,Australian Grand Prix,HAM,Ferrari,8.0,8.0,10.0,1.0,Finished
2025,1,Australian Grand Prix,HUL,Kick Sauber,17.0,17.0,7.0,6.0,Finished
2025,1,Australian Grand Prix,LAW,Red Bull Racing,18.0,18.0,15.0,0.0,Retired
2025,1,Australian Grand Prix,LEC,Ferrari,7.0,7.0,8.0,4.0,Finished
2025,1,Australian Grand Prix,NOR,McLaren,1.0,1.0,1.0,25.0,Finished
2025,1,Australian Grand Prix,OCO,Haas F1 Team,19.0,19.0,13.0,0.0,Finished
2025,1,Australian Grand Prix,PIA,McLaren,2.0,2.0,9.0,2.0,Finished
2025,1,Australian Grand Prix,RUS,Mercedes,4.0,4.0,3.0,15.0,Finished
2025,1,Australian Grand Prix,SAI,Williams,10.0,10.0,18.0,0.0,Retired
2025,1,Australian Grand Prix,STR,Aston Martin,13.0,13.0,6.0,8.0,Finished
2025,1,Australian Grand Prix,TSU,Racing Bulls,5.0,5.0,12.0,0.0,Finished
2025,1,Australian Grand Prix,VER,Red Bull Racing,3.0,3.0,2.0,18.0,Finished
2025,2,Chinese Grand Prix,ALB,Williams,10.0,,7.0,6.0,Finished
2025,2,Chinese Grand Prix,ALO,Aston Martin,13.0,,17.0,0.0,Retired
2025,2,Chinese Grand Prix,ANT,Mercedes,8.0,,6.0,8.0,Finished
2025,2,Chinese Grand Prix,BEA,Haas F1 Team,17.0,,8.0,4.0,Finished
2025,2,Chinese Grand Prix,BOR,Kick Sauber,19.0,,14.0,0.0,Lapped
2025,2,Chinese Grand Prix,DOO,Alpine,18.0,,13.0,0.0,Finished
2025,2,Chinese Grand Prix,GAS,Alpine,16.0,,20.0,0.0,Disqualified
2025,2,Chinese Grand Prix,HAD,Racing Bulls,7.0,,11.0,0.0,Finished
2025,2,Chinese Grand Prix,HAM,Ferrari,5.0,,19.0,0.0,Disqualified
2025,2,Chinese Grand Prix,HUL,Kick Sauber,12.0,,15.0,0.0,Lapped
2025,2,Chinese Grand Prix,LAW,Red Bull Racing,20.0,,12.0,0.0,Finished
2025,2,Chinese Grand Prix,LEC,Ferrari,6.0,,18.0,0.0,Disqualified
2025,2,Chinese Grand Prix,NOR,McLaren,3.0,,2.0,18.0,Finished
2025,2,Chinese Grand Prix,OCO,Haas F1 Team,11.0,,5.0,10.0,Finished
2025,2,Chinese Grand Prix,PIA,McLaren,1.0,,1.0,25.0,Finished
2025,2,Chinese Grand Prix,RUS,Mercedes,2.0,,3.0,15.0,Finished
2025,2,Chinese Grand Prix,SAI,Williams,15.0,,10.0,1.0,Finished
2025,2,Chinese Grand Prix,STR,Aston Martin,14.0,,9.0,2.0,Finished
2025,2,Chinese Grand Prix,TSU,Racing Bulls,9.0,,16.0,0.0,Lapped
2025,2,Chinese Grand Prix,VER,Red Bull Racing,4.0,,4.0,12.0,Finished
2025,3,Japanese Grand Prix,ALB,Williams,9.0,9.0,9.0,2.0,Finished
2025,3,Japanese Grand Prix,ALO,Aston Martin,12.0,13.0,11.0,0.0,Finished
2025,3,Japanese Grand Prix,ANT,Mercedes,6.0,6.0,6.0,8.0,Finished
2025,3,Japanese Grand Prix,BEA,Haas F1 Team,10.0,10.0,10.0,1.0,Finished
2025,3,Japanese Grand Prix,BOR,Kick Sauber,17.0,17.0,19.0,0.0,Finished
2025,3,Japanese Grand Prix,DOO,Alpine,19.0,19.0,15.0,0.0,Finished
2025,3,Japanese Grand Prix,GAS,Alpine,11.0,11.0,13.0,0.0,Finished
2025,3,Japanese Grand Prix,HAD,Racing Bulls,7.0,7.0,8.0,4.0,Finished
2025,3,Japanese Grand Prix,HAM,Ferrari,8.0,8.0,7.0,6.0,Finished
2025,3,Japanese Grand Prix,HUL,Kick Sauber,16.0,16.0,16.0,0.0,Finished
2025,3,Japanese Grand Prix,LAW,Racing Bulls,13.0,14.0,17.0,0.0,Finished
2025,3,Japanese Grand Prix,LEC,Ferrari,4.0,4.0,4.0,12.0,Finished
2025,3,Japanese Grand Prix,NOR,McLaren,2.0,2.0,2.0,18.0,Finished
2025,3,Japanese Grand Prix,OCO,Haas F1 Team,18.0,18.0,18.0,0.0,Finished
