Year,GrandPrix,Driver,Team,LapNumber,Stint,Compound,TyreLife,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackStatus,IsPersonalBest,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,Position
2025,British Grand Prix,ALB,Williams,51.0,3.0,MEDIUM,9.0,90.12,28.834,36.986,24.3,309.0,264.0,254.0,331.0,1,False,19.5,24.6,64.0,False,1.6,9.0
2025,British Grand Prix,RUS,Mercedes,51.0,3.0,HARD,13.0,90.869,29.021,36.896,24.952,304.0,260.0,250.0,316.0,1,True,19.5,24.6,64.0,False,1.6,10.0
2025,British Grand Prix,BEA,Haas F1 Team,51.0,3.0,MEDIUM,10.0,91.121,29.159,36.99,24.972,306.0,262.0,251.0,318.0,1,False,19.5,24.6,64.0,False,1.6,11.0
2025,British Grand Prix,SAI,Williams,51.0,3.0,MEDIUM,10.0,91.017,29.168,37.039,24.81,302.0,262.0,252.0,318.0,1,False,19.5,24.6,64.0,False,1.6,12.0
2025,British Grand Prix,OCO,Haas F1 Team,51.0,3.0,MEDIUM,9.0,91.029,29.075,37.093,24.861,310.0,261.0,252.0,319.0,1,False,19.5,24.6,64.0,False,1.6,13.0
2025,British Grand Prix,LEC,Ferrari,51.0,3.0,SOFT,12.0,91.24,29.156,37.255,24.829,293.0,259.0,250.0,306.0,1,False,19.5,24.6,64.0,False,1.6,14.0
2025,British Grand Prix,NOR,McLaren,52.0,3.0,MEDIUM,8.0,90.69,28.812,36.855,25.023,299.0,263.0,206.0,312.0,1,False,19.5,24.6,64.0,False,1.6,1.0
2025,British Grand Prix,PIA,McLaren,52.0,3.0,MEDIUM,9.0,92.34,28.768,38.663,24.909,299.0,260.0,251.0,315.0,1,False,19.5,24.6,64.0,False,1.6,2.0
2025,British Grand Prix,TSU,Red Bull Racing,51.0,3.0,MEDIUM,10.0,91.565,29.104,37.398,25.063,302.0,263.0,251.0,320.0,1,False,19.6,24.3,63.0,False,1.7,15.0
2025,British Grand Prix,HUL,Kick Sauber,52.0,3.0,MEDIUM,10.0,91.705,29.341,37.271,25.093,288.0,263.0,249.0,304.0,1,False,19.6,24.3,63.0,False,1.7,3.0
2025,British Grand Prix,HAM,Ferrari,52.0,3.0,SOFT,14.0,91.662,29.278,37.354,25.03,296.0,260.0,240.0,312.0,1,False,19.6,24.3,63.0,False,1.7,4.0
2025,British Grand Prix,VER,Red Bull Racing,52.0,3.0,MEDIUM,11.0,91.389,29.137,37.206,25.046,300.0,263.0,249.0,317.0,1,False,19.6,24.3,63.0,False,1.7,5.0
2025,British Grand Prix,GAS,Alpine,52.0,3.0,MEDIUM,11.0,91.884,29.149,37.885,24.85,310.0,265.0,250.0,334.0,1,False,19.6,24.3,63.0,False,1.7,6.0
2025,British Grand Prix,STR,Aston Martin,52.0,4.0,SOFT,11.0,93.247,29.46,37.905,25.882,304.0,261.0,250.0,315.0,1,False,19.6,24.3,63.0,False,1.7,7.0
2025,British Grand Prix,ALB,Williams,52.0,3.0,MEDIUM,10.0,90.452,28.891,37.161,24.4,323.0,260.0,252.0,318.0,1,False,19.6,24.3,63.0,False,1.7,8.0
2025,British Grand Prix,ALO,Aston Martin,52.0,3.0,MEDIUM,16.0,92.745,29.31,38.607,24.828,303.0,262.0,253.0,313.0,1,False,19.6,24.3,63.0,False,1.7,9.0
2025,British Grand Prix,RUS,Mercedes,52.0,3.0,HARD,14.0,91.9,28.998,37.424,25.478,302.0,261.0,249.0,317.0,1,False,19.6,24.3,63.0,False,1.7,10.0
2025,British Grand Prix,BEA,Haas F1 Team,52.0,3.0,MEDIUM,11.0,92.585,29.012,38.59,24.983,306.0,250.0,253.0,314.0,1,False,19.6,24.3,63.0,False,1.7,11.0
2025,British Grand Prix,SAI,Williams,52.0,3.0,MEDIUM,11.0,90.645,28.927,36.976,24.742,306.0,266.0,252.0,320.0,1,True,19.6,24.3,63.0,False,1.7,12.0
2025,British Grand Prix,OCO,Haas F1 Team,52.0,3.0,MEDIUM,10.0,90.818,28.864,36.941,25.013,310.0,267.0,252.0,334.0,1,True,19.6,24.3,63.0,False,1.7,13.0
2025,British Grand Prix,LEC,Ferrari,52.0,3.0,SOFT,13.0,91.629,29.156,37.229,25.244,292.0,262.0,237.0,305.0,1,False,19.6,24.3,63.0,False,1.7,14.0
